BillURL,SessionYr,BillName,BillCat,UKPB_Bill,UKPB_Act,RoyalAssent,RoyalAssentDate,StageName,StageDate,StageNumber,NumberofStages,firststage,firststagedate,StageLink
http://services.parliament.uk//bills/2013-14/accesstomentalhealthservices.html,2013-14,Access to Mental Health Services Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,10.09.2013,1,2,1st reading: House of Commons,10.09.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130910/debtext/130910-0002.htm#13091038000001
http://services.parliament.uk//bills/2013-14/accesstomentalhealthservices.html,2013-14,Access to Mental Health Services Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,Date to be announced,2,2,1st reading: House of Commons,10.09.2013,NA
http://services.parliament.uk//bills/2013-14/additionalchargesforutilitybillsnotpaidbydirectdebitlimits.html,2013-14,Additional Charges for Utility Bills Not Paid by Direct Debit (Limits) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,11.02.2014,1,2,1st reading: House of Commons,11.02.2014,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140211/debtext/140211-0001.htm#14021164000001
http://services.parliament.uk//bills/2013-14/additionalchargesforutilitybillsnotpaidbydirectdebitlimits.html,2013-14,Additional Charges for Utility Bills Not Paid by Direct Debit (Limits) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,Date to be announced,2,2,1st reading: House of Commons,11.02.2014,NA
http://services.parliament.uk//bills/2013-14/adventureandgapyearactivitycompaniesaccreditationandinspection.html,2013-14,Adventure and Gap Year Activity Companies (Accreditation and Inspection) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,21.01.2014,1,2,1st reading: House of Commons,21.01.2014,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140121/debtext/140121-0001.htm#14012168000002
http://services.parliament.uk//bills/2013-14/adventureandgapyearactivitycompaniesaccreditationandinspection.html,2013-14,Adventure and Gap Year Activity Companies (Accreditation and Inspection) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,16.05.2014,2,2,1st reading: House of Commons,21.01.2014,NA
http://services.parliament.uk//bills/2013-14/ageofcriminalresponsibility.html,2013-14,Age of Criminal Responsibility Bill [HL],PMB-L,Yes,No,No,NA,1st reading: House of Lords,14.05.2013,1,2,1st reading: House of Lords,14.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/130514-0001.htm#13051441000451
http://services.parliament.uk//bills/2013-14/ageofcriminalresponsibility.html,2013-14,Age of Criminal Responsibility Bill [HL],PMB-L,Yes,No,No,NA,2nd reading: House of Lords,08.11.2013,2,2,1st reading: House of Lords,14.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131108-0001.htm#13110858000393
http://services.parliament.uk//bills/2013-14/agriculturalaccidentsrecords.html,2013-14,Agricultural Accidents (Records) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,09.04.2014,1,2,1st reading: House of Commons,09.04.2014,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140409/debtext/140409-0001.htm#14040933000001
http://services.parliament.uk//bills/2013-14/agriculturalaccidentsrecords.html,2013-14,Agricultural Accidents (Records) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,06.06.2014,2,2,1st reading: House of Commons,09.04.2014,NA
http://services.parliament.uk//bills/2013-14/alanturingstatutorypardon.html,2013-14,Alan Turing (Statutory Pardon) Bill [HL],PMB-L,Yes,No,No,NA,1st reading: House of Lords,09.05.2013,1,6,1st reading: House of Lords,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/130509-0001.htm#13050924000749
http://services.parliament.uk//bills/2013-14/alanturingstatutorypardon.html,2013-14,Alan Turing (Statutory Pardon) Bill [HL],PMB-L,Yes,No,No,NA,2nd reading: House of Lords,19.07.2013,2,6,1st reading: House of Lords,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/130719-0001.htm#13071970000398
http://services.parliament.uk//bills/2013-14/alanturingstatutorypardon.html,2013-14,Alan Turing (Statutory Pardon) Bill [HL],PMB-L,Yes,No,No,NA,Order of Commitment discharged: House of Lords,23.10.2013,3,6,1st reading: House of Lords,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131023-0001.htm#13102355000390
http://services.parliament.uk//bills/2013-14/alanturingstatutorypardon.html,2013-14,Alan Turing (Statutory Pardon) Bill [HL],PMB-L,Yes,No,No,NA,3rd reading: House of Lords,30.10.2013,4,6,1st reading: House of Lords,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131030-0001.htm#13103058000234
http://services.parliament.uk//bills/2013-14/alanturingstatutorypardon.html,2013-14,Alan Turing (Statutory Pardon) Bill [HL],PMB-L,Yes,No,No,NA,1st reading: House of Commons,30.10.2013,5,6,1st reading: House of Lords,09.05.2013,NA
http://services.parliament.uk//bills/2013-14/alanturingstatutorypardon.html,2013-14,Alan Turing (Statutory Pardon) Bill [HL],PMB-L,Yes,No,No,NA,2nd reading: House of Commons,Date to be announced,6,6,1st reading: House of Lords,09.05.2013,NA
http://services.parliament.uk//bills/2013-14/animalwelfareelectroniccollars.html,2013-14,Animal Welfare (Electronic Collars) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,22.01.2014,1,2,1st reading: House of Commons,22.01.2014,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140122/debtext/140122-0001.htm#14012279000001
http://services.parliament.uk//bills/2013-14/animalwelfareelectroniccollars.html,2013-14,Animal Welfare (Electronic Collars) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,06.06.2014,2,2,1st reading: House of Commons,22.01.2014,NA
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,1st reading: House of Commons,09.05.2013,1,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130509/debtext/130509-0001.htm#13050918000005
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,2nd reading: House of Commons,10.06.2013,2,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130610/debtext/130610-0002.htm#13061035000001
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Money resolution: House of Commons,10.06.2013,3,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130610/debtext/130610-0004.htm#13061046000007
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Ways and Means resolution: House of Commons,10.06.2013,4,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130610/debtext/130610-0004.htm#13061046000008
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Programme motion: House of Commons,10.06.2013,5,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130610/debtext/130610-0004.htm#13061046000003
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 1st sitting: House of Commons,18.06.2013,6,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130618/am/130618s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 2nd sitting: House of Commons,18.06.2013,7,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130618/pm/130618s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 3rd sitting: House of Commons,20.06.2013,8,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130620/am/130620s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 4th sitting: House of Commons,20.06.2013,9,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130620/pm/130620s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 5th sitting: House of Commons,25.06.2013,10,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130625/am/130625s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 6th sitting: House of Commons,25.06.2013,11,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130625/pm/130625s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 7th sitting: House of Commons,27.06.2013,12,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130627/am/130627s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 8th sitting: House of Commons,27.06.2013,13,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130627/pm/130627s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 9th sitting: House of Commons,02.07.2013,14,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130702/pm/130702s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 10th sitting: House of Commons,04.07.2013,15,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130704/am/130704s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 11th sitting: House of Commons,04.07.2013,16,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130704/pm/130704s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 12th sitting: House of Commons,09.07.2013,17,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130709/am/130709s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 13th sitting: House of Commons,09.07.2013,18,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130709/pm/130709s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 14th sitting: House of Commons,11.07.2013,19,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130711/am/130711s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee Debate: 15th sitting: House of Commons,16.07.2013,20,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmpublic/antisocialbehaviour/130716/am/130716s01.htm
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Ways and Means resolution (No.2): House of Commons,14.10.2013,21,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm131014/debtext/131014-0001.htm#1310143000009
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Programme motion (No.2): House of Commons,14.10.2013,22,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm131014/debtext/131014-0001.htm#1310143000002
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Report: 1st sitting: House of Commons,14.10.2013,23,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm131014/debtext/131014-0002.htm#1310143000001
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Report: 2nd sitting: House of Commons,15.10.2013,24,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm131015/debtext/131015-0001.htm#13101587000002
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,3rd reading: House of Commons,15.10.2013,25,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm131015/debtext/131015-0003.htm#13101587002641
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,1st reading: House of Lords,16.10.2013,26,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131016-0001.htm#13101672000796
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,2nd reading: House of Lords,29.10.2013,27,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131029-0001.htm#13102970000206
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee: 1st sitting: House of Lords,12.11.2013,28,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131112-0001.htm#13111249000122
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee: 2nd sitting: House of Lords,18.11.2013,29,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131118-0002.htm#13111831000113
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee: 3rd sitting: House of Lords,20.11.2013,30,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131120-0001.htm#13112089000445
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee: 4th sitting: House of Lords,25.11.2013,31,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131125-0001.htm#13112512000432
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee: 5th sitting: House of Lords,02.12.2013,32,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131202-0001.htm#1312023000292
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee: 6th sitting: House of Lords,04.12.2013,33,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131204-0001.htm#13120452000411
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Committee: 7th sitting: House of Lords,11.12.2013,34,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/131211-0001.htm#13121184000865
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Report: 1st sitting: House of Lords,08.01.2014,35,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/140108-0001.htm#14010845000398
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Report: 2nd sitting: House of Lords,14.01.2014,36,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/140114-0001.htm#14011476000950
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Report: 3rd sitting: House of Lords,20.01.2014,37,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/140120-0001.htm#1401204000668
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Report: 4th sitting: House of Lords,22.01.2014,38,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/140122-0001.htm#14012297000946
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,3rd reading: House of Lords,27.01.2014,39,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/140127-0001.htm#1401272000430
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Programme motion (No.2): House of Commons,04.02.2014,40,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140204/debtext/140204-0002.htm#14020474000004
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Ping Pong: House of Commons,04.02.2014,41,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140204/debtext/140204-0002.htm#14020474000002
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Ping Pong: House of Lords,11.03.2014,42,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/140311-0002.htm#14031159000882
http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,2013-14,"Anti-social Behaviour, Crime and Policing Act 2014",G,Yes,Yes,Yes,13.03.2014,Royal Assent,13.03.2014,43,43,1st reading: House of Commons,09.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/140313-0001.htm#14031365000466
http://services.parliament.uk//bills/2013-14/apprenticeshipsandskillspublicprocurementcontracts.html,2013-14,Apprenticeships and Skills (Public Procurement Contracts) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,19.06.2013,1,3,1st reading: House of Commons,19.06.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130619/debtext/130619-0002.htm#13061976000035
http://services.parliament.uk//bills/2013-14/apprenticeshipsandskillspublicprocurementcontracts.html,2013-14,Apprenticeships and Skills (Public Procurement Contracts) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,01.11.2013,2,3,1st reading: House of Commons,19.06.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm131101/debtext/131101-0001.htm#13110151000002
http://services.parliament.uk//bills/2013-14/apprenticeshipsandskillspublicprocurementcontracts.html,2013-14,Apprenticeships and Skills (Public Procurement Contracts) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,Date to be announced,3,3,1st reading: House of Commons,19.06.2013,NA
http://services.parliament.uk//bills/2013-14/arbitrationandmediationequalityservices.html,2013-14,Arbitration and Mediation (Equality) Services Bill [HL],PMB-L,Yes,No,No,NA,1st reading: House of Lords,14.05.2013,1,1,1st reading: House of Lords,14.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/130514-0001.htm#13051441000454
http://services.parliament.uk//bills/2013-14/armedforcespreventionofdiscrimination.html,2013-14,Armed Forces (Prevention of Discrimination) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,24.06.2013,1,3,1st reading: House of Commons,24.06.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130624/debtext/130624-0001.htm#13062415000008
http://services.parliament.uk//bills/2013-14/armedforcespreventionofdiscrimination.html,2013-14,Armed Forces (Prevention of Discrimination) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,24.01.2014,2,3,1st reading: House of Commons,24.06.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140124/debtext/140124-0001.htm#14012436000002
http://services.parliament.uk//bills/2013-14/armedforcespreventionofdiscrimination.html,2013-14,Armed Forces (Prevention of Discrimination) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,09.05.2014,3,3,1st reading: House of Commons,24.06.2013,NA
http://services.parliament.uk//bills/2013-14/assisteddying.html,2013-14,Assisted Dying Bill [HL],PMB-L,Yes,No,No,NA,1st reading: House of Lords,15.05.2013,1,1,1st reading: House of Lords,15.05.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/130515-0001.htm#13051539000299
http://services.parliament.uk//bills/2013-14/asylumtimelimit.html,2013-14,Asylum (Time Limit) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,24.06.2013,1,2,1st reading: House of Commons,24.06.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130624/debtext/130624-0001.htm#13062415000008
http://services.parliament.uk//bills/2013-14/asylumtimelimit.html,2013-14,Asylum (Time Limit) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,16.05.2014,2,2,1st reading: House of Commons,24.06.2013,NA
http://services.parliament.uk//bills/2013-14/asylumseekersreturntonearestsafecountry.html,2013-14,Asylum Seekers (Return to Nearest Safe Country) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,24.06.2013,1,2,1st reading: House of Commons,24.06.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130624/debtext/130624-0001.htm#13062415000008
http://services.parliament.uk//bills/2013-14/asylumseekersreturntonearestsafecountry.html,2013-14,Asylum Seekers (Return to Nearest Safe Country) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,Date to be announced,2,2,1st reading: House of Commons,24.06.2013,NA
http://services.parliament.uk//bills/2013-14/bbctrusteeelectionandlicencefee.html,2013-14,BBC (Trustee Election and Licence Fee) Bill [HL],PMB-L,Yes,No,No,NA,1st reading: House of Lords,30.07.2013,1,1,1st reading: House of Lords,30.07.2013,http://www.publications.parliament.uk/pa/ld201314/ldhansrd/text/130730-0001.htm#13073026000407
http://services.parliament.uk//bills/2013-14/bbclicencefeecivildebt.html,2013-14,BBC Licence Fee (Civil Debt) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,24.06.2013,1,2,1st reading: House of Commons,24.06.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130624/debtext/130624-0001.htm#13062415000008
http://services.parliament.uk//bills/2013-14/bbclicencefeecivildebt.html,2013-14,BBC Licence Fee (Civil Debt) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,Date to be announced,2,2,1st reading: House of Commons,24.06.2013,NA
http://services.parliament.uk//bills/2013-14/bbcprivatisation.html,2013-14,BBC Privatisation Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,24.06.2013,1,2,1st reading: House of Commons,24.06.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130624/debtext/130624-0001.htm#13062415000008
http://services.parliament.uk//bills/2013-14/bbcprivatisation.html,2013-14,BBC Privatisation Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,Date to be announced,2,2,1st reading: House of Commons,24.06.2013,NA
http://services.parliament.uk//bills/2013-14/benefitclaimantsautomatictransfertoalternativebenefits.html,2013-14,Benefit Claimants (Automatic Transfer to Alternative Benefits) Bill,PMB-C,Yes,No,No,NA,1st reading: House of Commons,05.11.2013,1,2,1st reading: House of Commons,05.11.2013,http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm131105/debtext/131105-0001.htm#13110557000001
http://services.parliament.uk//bills/2013-14/benefitclaimantsautomatictransfertoalternativebenefits.html,2013-14,Benefit Claimants (Automatic Transfer to Alternative Benefits) Bill,PMB-C,Yes,No,No,NA,2nd reading: House of Commons,Date to be announced,2,2,1st reading: House of Commons,05.11.2013,NA
